FechaAnalisis	Modelo	ArchivoJSON	EstadoJSON	Link	Periódico	Fecha	Titular	Título	Subtítulo	Categoría	cb	cb_score	cb_label	Motivo	RespuestaAgente
2026-05-15T21:28:32	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\mediterraneodigital.json	añadida	https://www.mediterraneodigital.com/espana/andalucia/almeria-inmigracion	Mediterráneo Digital	2026-05-15	El 60% de los habitantes de Almería ya son inmigrantes	El 60% de los habitantes de Almería ya son inmigrantes		Nacional	True	0.94	Clickbait	El titular exagera al afirmar que el 60% de los habitantes son inmigrantes, mientras el artículo indica que más del 60% del incremento poblacional son extranjeros, no el total de la población.	Veredicto: CLICKBAIT | Confianza: 0.94 | Motivo: El titular exagera al afirmar que el 60 % de los habitantes de Almería son inmigrantes, pero el artículo solo indica que más del 60 % del crecimiento poblacional reciente corresponde a extranjeros, no que la mayoría de la población total sea inmigrante.
2026-05-15T21:28:40	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\mediterraneodigital.json	añadida	https://www.mediterraneodigital.com/espana/andalucia/alcalde-psoe-granada-detenido-renovar-dni-estafas-online	Mediterráneo Digital	2026-05-15	Detenido un alcalde del PSOE en Granada al ir a renovar el DNI por estafas online	Detenido un alcalde del PSOE en Granada al ir a renovar el DNI por estafas online	Detenido cuando acudía a renovar el DNI	Nacional	False	0.94	NO Clickbait	El titular es informativo y describe el hecho sin exageración ni promesas vagas; coincide con el contenido.	Veredicto: NO CLICKBAIT | Confianza: 0.94 | Motivo: El titular informa de forma directa y concreta la detención del alcalde al ir a renovar el DNI, sin exageraciones ni promesas vagas, y coincide con el contenido de la noticia.
2026-05-15T21:29:11	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\mediterraneodigital.json	añadida	https://www.mediterraneodigital.com/espana/andalucia/dimite-alcalde-algaba-investigacion-acoso-menor	Mediterráneo Digital	2026-05-15	Dimite el alcalde socialista de La Algaba tras un presunto caso de acoso sexual a un menor	Dimite el alcalde socialista de La Algaba tras un presunto caso de acoso sexual a un menor		Nacional	False	0.95	NO Clickbait	Titular informativo y proporcional al contenido; no hay sensacionalismo ni promesas vagas.	Veredicto: NO CLICKBAIT | Confianza: 0.95 | Motivo: Titular informativo y proporcional al contenido; no hay sensacionalismo ni promesas vagas.
2026-05-15T21:29:23	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\mediterraneodigital.json	añadida	https://www.mediterraneodigital.com/espana/andalucia/detenido-lider-grupo-agresiones-homofobas-almeria	Mediterráneo Digital	2026-05-15	Detenido en Almería el líder de un grupo marroquí que concertaba citas para agredir a gays	Detenido en Almería el líder de un grupo marroquí que concertaba citas para agredir a gays	Emboscadas con motivación homófoba	Nacional	False	0.94	NO Clickbait	El titular y subtítulo son informativos y describen hechos concretos sin exageración ni promesas vagas; el contenido coincide con lo anunciado.	Veredicto: NO CLICKBAIT | Confianza: 0.94 | Motivo: El titular y subtítulo son informativos y describen hechos concretos sin exageración ni promesas vagas; el contenido coincide con lo anunciado.
2026-05-15T21:29:37	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\mediterraneodigital.json	añadida	https://www.mediterraneodigital.com/espana/andalucia/malaga-izquierda-retirar-hijo-adoptivo-julio-iglesias	Mediterráneo Digital	2026-05-15	La izquierda pide retirar a Julio Iglesias el título de Hijo Adoptivo de Málaga... que no tiene	La izquierda pide retirar a Julio Iglesias el título de Hijo Adoptivo de Málaga... que no tiene	Una propuesta sin respaldo administrativo	Nacional	True	0.9	Clickbait	El titular exagera y genera curiosidad al insinuar que Julio Iglesias tiene un título que luego se afirma que nunca existió, creando desajuste entre titular y contenido.	Veredicto: CLICKBAIT | Confianza: 0.9 | Motivo: El titular exagera y genera curiosidad al insinuar que Julio Iglesias posee un título que luego se confirma que nunca existió, creando desajuste entre titular y contenido.
2026-05-15T21:29:47	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\mediterraneodigital.json	añadida	https://www.mediterraneodigital.com/espana/andalucia/francisco-luis-fernandez-psoe	Mediterráneo Digital	2026-05-15	Un alcalde del PSOE en Córdoba a una subordinada: «Echas de menos una buena comida de almeja»	Un alcalde del PSOE en Córdoba a una subordinada: «Echas de menos una buena comida de almeja»	Investigación y exigencia de explicaciones	Nacional	False	0.88	NO Clickbait	El titular describe de forma concreta el contenido sexual del mensaje y no exagera ni oculta información; coincide con la noticia.	Veredicto: NO CLICKBAIT | Confianza: 0.88 | Motivo: El titular describe de forma concreta el contenido sexual del mensaje y coincide con el cuerpo de la noticia, sin exageración ni promesas engañosas.
2026-05-15T21:29:58	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\mediterraneodigital.json	añadida	https://www.mediterraneodigital.com/espana/andalucia/jose-ignacio-landaluce	Mediterráneo Digital	2026-05-15	¡Otro! El alcalde de Algeciras, denunciado por presunto acoso sexual	¡Otro! El alcalde de Algeciras, denunciado por presunto acoso sexual		Nacional	False	0.94	NO Clickbait	El titular es informativo y describe el hecho sin exageración ni promesas vagas; coincide con el contenido.	Veredicto: NO CLICKBAIT | Confianza: 0.94 | Motivo: El titular informa de forma directa sobre la denuncia por presunto acoso sexual al alcalde, sin exageración ni promesas vagas, y coincide con el contenido de la noticia.
2026-05-15T21:30:06	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\mediterraneodigital.json	añadida	https://www.mediterraneodigital.com/espana/andalucia/psoe-torremolinos	Mediterráneo Digital	2026-05-15	Denunciado el secretario general del PSOE en Torremolinos por acoso sexual	Denunciado el secretario general del PSOE en Torremolinos por acoso sexual	Mensajes “incómodos, insistentes y fuera de lugar”	Nacional	False	0.95	NO Clickbait	El titular es informativo y describe la denuncia; no hay sensacionalismo ni discrepancia con el contenido.	Veredicto: NO CLICKBAIT | Confianza: 0.95 | Motivo: El titular informa de forma directa la denuncia por acoso sexual sin exageración ni promesas engañosas; coincide con el contenido de la noticia.
2026-05-15T21:30:28	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\mediterraneodigital.json	añadida	https://www.mediterraneodigital.com/espana/andalucia/almeria-mascarillas	Mediterráneo Digital	2026-05-15	La UCO detiene al presidente y al vicepresidente de la Diputación de Almería por el caso mascarillas	La UCO detiene al presidente y al vicepresidente de la Diputación de Almería por el caso mascarillas	El ‘caso mascarillas’, ese pozo sin fondo	Nacional	False	0.92	NO Clickbait	Titular informativo y coherente con el contenido; no hay exageración ni promesas vacías.	Veredicto: NO CLICKBAIT | Confianza: 0.92 | Motivo: El titular es informativo y coincide con el contenido; no contiene exageración, ambigüedad ni promesas vacías.
2026-05-15T21:30:41	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\mediterraneodigital.json	añadida	https://www.mediterraneodigital.com/espana/andalucia/veleta-granada	Mediterráneo Digital	2026-05-15	Un hijo de puta pinta con los colores de Palestina el histórico vértice Veleta	Un hijo de puta pinta con los colores de Palestina el histórico vértice Veleta		Nacional	True	0.85	Clickbait	Titular sensacionalista, vulgar y busca provocar indignación, no refleja neutralmente el contenido.	Veredicto: CLICKBAIT | Confianza: 0.85 | Motivo: Titular sensacionalista y vulgar que busca provocar indignación, sin corresponder de forma neutral al contenido informativo.
