FechaAnalisis	Modelo	ArchivoJSON	EstadoJSON	ArchivoTitulosSinClickbait	EstadoTitulosSinClickbait	Link	Periódico	Fecha	Titular	Título	Subtítulo	Categoría	cb	cb_score	cb_label	TituloSinClickbait	Motivo	RespuestaAgente
2026-05-18T20:59:17	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\elconfidencial.json	añadida	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\titulos_sin_clickbait\elconfidencial.json	no aplica: la noticia no es clickbait	https://www.elconfidencial.com/espana/2026-05-18/violencia-machista-genero-navarra-mujer-muerte_4357159/	El Confidencial	2026-05-18	Se investiga la muerte de una mujer en Navarra como un posible caso de violencia machista	Se investiga la muerte de una mujer en Navarra como un posible caso de violencia machista	Según las primeras investigaciones, no constaban denuncias previas relacionadas con violencia de género. De confirmarse este caso como un asesinato machista, serían ya 20 mujeres las víctimas mortales en 2026	Nacional	False	0.94	NO Clickbait		El titular es informativo y describe directamente la investigación sin exageración ni promesas vagas.	Veredicto: NO CLICKBAIT | Confianza: 0.94 | Título sin clickbait: — | Motivo: El titular es informativo y describe directamente la investigación sin exageración ni promesas vagas.
2026-05-18T20:59:57	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\elconfidencial.json	añadida	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\titulos_sin_clickbait\elconfidencial.json	no aplica: la noticia no es clickbait	https://www.elconfidencial.com/espana/2026-05-18/begona-gomez-recurre-la-absolucion_4357151/	El Confidencial	2026-05-18	Begoña Gómez recurre la absolución de la tertuliana que la llamó 'Begoño' en televisión	Begoña Gómez recurre la absolución de la tertuliana que la llamó 'Begoño' en televisión	Los abogados de Begoña Gómez insisten en que Pilar Baselga difamó gravemente el honor de la mujer del presidente del Gobierno, Pedro Sánchez, con al menos cuatro de sus afirmaciones	Nacional	False	0.94	NO Clickbait		El titular informa de forma directa y concreta que Begoña Gómez recurre la absolución de Pilar Baselga, sin exageración ni promesas vagas.	Veredicto: NO CLICKBAIT | Confianza: 0.94 | Título sin clickbait: (no procede) | Motivo: El titular informa de forma directa y concreta que Begoña Gómez recurre la absolución de Pilar Baselga, sin exageración, sensacionalismo ni promesas vagas.
2026-05-18T21:00:48	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\elconfidencial.json	añadida	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\titulos_sin_clickbait\elconfidencial.json	añadida	https://www.elconfidencial.com/espana/2026-05-18/gana-shakira-hacienda-top-6-forbes-multimillonario-patrimonio-1qrt_4356992/	El Confidencial	2026-05-18	De ganar el pulso a Hacienda a colarse en el 'Top 6' de Forbes en la lista de los artistas mejor pagados en 2025: este es el multimillonario patrimonio de Shakira	De ganar el pulso a Hacienda a colarse en el 'Top 6' de Forbes en la lista de los artistas mejor pagados en 2025: este es el multimillonario patrimonio de Shakira	Un exitoso catálogo musical, giras internacionales, acuerdos comerciales, inversiones empresariales, propiedades inmobiliarias y nuevos negocios explican la fortuna de la colombiana	Nacional	True	0.92	Clickbait	Shakira gana la disputa fiscal con Hacienda y aparece entre los seis artistas mejor pagados de Forbes 2025	El titular combina exageraciones y curiosidad artificial, usando frases como 'ganar el pulso' y 'colarse en el Top 6' que no reflejan de forma sobria el contenido factual.	Veredicto: CLICKBAIT | Confianza: 0.92 | Título sin clickbait: Shakira gana la disputa fiscal con Hacienda y aparece entre los seis artistas mejor pagados de Forbes 2025 | Motivo: El titular usa expresiones sensacionalistas y crea curiosidad artificial («ganar el pulso», «colarse en el Top 6») que exageran y distorsionan el contenido factual de la noticia.
2026-05-18T21:01:31	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\elconfidencial.json	añadida	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\titulos_sin_clickbait\elconfidencial.json	no aplica: la noticia no es clickbait	https://www.elconfidencial.com/espana/2026-05-18/ferraz-elecciones-andalucia-generales_4356976/	El Confidencial	2026-05-18	"Ferraz obvia las andaluzas y solo piensa en generales: ""No hay extrapolación al resultado nacional"""	"Ferraz obvia las andaluzas y solo piensa en generales: ""No hay extrapolación al resultado nacional"""	El discurso de que la izquierda se movilizará para Pedro Sánchez pueda seguir en el Gobierno permanece inalterado. Toda la reflexión sobre qué ha fallado el 17-M se deja en manos del PSOE andaluz	Nacional	False	0.92	NO Clickbait		El titular informa de forma directa la posición de Ferraz sin exageración ni promesas vagas; coincide con el contenido que explica la falta de extrapolación al resultado nacional.	Veredicto: NO CLICKBAIT | Confianza: 0.92 | Título sin clickbait: (no procede) | Motivo: El titular informa de forma directa la posición de Ferraz sin exageración ni promesas vagas; coincide con el contenido que explica la falta de extrapolación al resultado nacional.
2026-05-18T21:02:46	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\elconfidencial.json	añadida	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\titulos_sin_clickbait\elconfidencial.json	no aplica: la noticia no es clickbait	https://www.elconfidencial.com/espana/madrid/2026-05-18/la-justicia-da-la-razon-a-ayuso-frente-al-gobierno-y-suspende-la-declaracion-de-sol-como-lugar-de-memoria_4356967/	El Confidencial	2026-05-18	La Justicia da la razón a Ayuso frente al Gobierno y suspende la declaración de Sol como lugar de Memoria Democrática	La Justicia da la razón a Ayuso frente al Gobierno y suspende la declaración de Sol como lugar de Memoria Democrática	La Sala de lo contencioso-administrativo de la Audiencia Nacional ha acordado la suspensión cautelar del acuerdo de la Secretaría de Estado de Memoria Democrática sobre la Real Casa de Correos, sede del Gobierno madrileño	Nacional	False	0.94	NO Clickbait		El titular informa de forma concreta y proporcional al contenido, sin exageración ni promesas vagas.	Veredicto: NO CLICKBAIT | Confianza: 0.94 | Título sin clickbait: (no procede) | Motivo: El titular informa de forma concreta y proporcional al contenido, sin exageración ni promesas vagas.
2026-05-18T21:03:22	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\elconfidencial.json	añadida	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\titulos_sin_clickbait\elconfidencial.json	no aplica: la noticia no es clickbait	https://www.elconfidencial.com/espana/andalucia/2026-05-18/escrache-mejor-restaurante-juanma-moreno-1qrt-1tna_4356756/	El Confidencial	2026-05-18	El restaurante de Córdoba en el que comió Juanma Moreno durante la campaña de las elecciones de Andalucía	El restaurante de Córdoba en el que comió Juanma Moreno durante la campaña de las elecciones de Andalucía	Un establecimiento con una trayectoria gastronómica reconocida este año a nivel provincial volvía a situarse en el foco público tras una polémica que nació en redes sociales durante la campaña andaluza	Nacional	False	0.92	NO Clickbait		El titular es descriptivo y factual, indica el hecho sin exageración ni promesas vagas, y coincide con el contenido de la noticia.	Veredicto: NO CLICKBAIT | Confianza: 0.92 | Título sin clickbait: — | Motivo: El titular es descriptivo y factual, indica el hecho sin exageración ni promesas vagas, y coincide con el contenido de la noticia.
2026-05-18T21:04:06	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\elconfidencial.json	añadida	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\titulos_sin_clickbait\elconfidencial.json	no aplica: la noticia no es clickbait	https://www.elconfidencial.com/espana/2026-05-18/gabriel-rufian-resultados-elecciones-andalucia-2026-izquierdas-aceptar-son-problema-1qrt_4356749/	El Confidencial	2026-05-18	"Gabriel Rufián, sobre los resultados de las elecciones de Andalucía 2026: ""Un momento que las izquierdas españolas deben saber aceptar y fomentar: son el problema"""	"Gabriel Rufián, sobre los resultados de las elecciones de Andalucía 2026: ""Un momento que las izquierdas españolas deben saber aceptar y fomentar: son el problema"""	La cita electoral deja un nuevo tablero político con el PP como primera fuerza, el PSOE en retroceso y Vox manteniendo un suelo electoral suficiente para condicionar la gobernabilidad	Nacional	False	0.92	NO Clickbait		El titular informa de forma directa la declaración de Gabriel Rufián sin exageración ni promesas vagas; refleja el contenido de la noticia.	Veredicto: NO CLICKBAIT | Confianza: 0.92 | Título sin clickbait: (no procede) | Motivo: El titular informa de forma directa la declaración de Gabriel Rufián sin exageración ni promesas vagas; refleja el contenido de la noticia.
2026-05-18T21:04:59	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\elconfidencial.json	añadida	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\titulos_sin_clickbait\elconfidencial.json	añadida	https://www.elconfidencial.com/espana/andalucia/2026-05-18/votos-andalucia-pueblo-juanma-moreno-1tna-1qrt_4356739/	El Confidencial	2026-05-18	Así ha votado el pueblo de Juanma Moreno: nueva victoria del PP con el 54% de los votos y 'sorpasso' de Vox en Alhaurín el Grande	Así ha votado el pueblo de Juanma Moreno: nueva victoria del PP con el 54% de los votos y 'sorpasso' de Vox en Alhaurín el Grande	El PP superó el 54 % de los votos, mientras Vox protagonizó uno de los resultados más ajustados de la provincia al adelantar al PSOE por apenas ocho apoyos	Nacional	True	0.75	Clickbait	El PP obtiene el 54,57% de los votos en Alhaurín el Grande, mientras Vox supera al PSOE por ocho votos	El titular usa expresiones sensacionalistas como 'nueva victoria' y 'sorpasso' que exageran y crean curiosidad artificial, aunque el contenido es meramente informativo.	Veredicto: CLICKBAIT | Confianza: 0.75 | Título sin clickbait: El PP obtiene el 54,57 % de los votos en Alhaurín el Grande, mientras Vox supera al PSOE por ocho votos | Motivo: El titular emplea expresiones sensacionalistas como “nueva victoria” y “sorpasso”, exagera el resultado y genera curiosidad artificial, sin que el contenido justifique tal tono.
2026-05-18T21:05:37	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\elconfidencial.json	añadida	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\titulos_sin_clickbait\elconfidencial.json	añadida	https://www.elconfidencial.com/espana/2026-05-18/shakira-audiencia-nacional-hacienda-sentencia-1tps_4356733/	El Confidencial	2026-05-18	Shakira gana el último pulso legal a Hacienda y la AEAT anuncia que presentará batalla	Shakira gana el último pulso legal a Hacienda y la AEAT anuncia que presentará batalla	La Audiencia Nacional anula la resolución del Tribunal Económico Administrativo Central sobre el ejercicio fiscal 2011 y obliga a la Agencia Tributaria a acudir al Supremo para evitar una devolución millonaria	Nacional	True	0.85	Clickbait	La Audiencia Nacional anula la resolución de la AEAT sobre Shakira y ordena que el caso sea recurrido al Supremo	El titular usa expresiones sensacionalistas como 'último pulso' y 'presentará batalla', creando suspense y exageración respecto al contenido jurídico.	Veredicto: CLICKBAIT | Confianza: 0.85 | Título sin clickbait: La Audiencia Nacional anula la resolución de la AEAT sobre Shakira y ordena que el caso sea recurrido al Supremo | Motivo: El titular usa expresiones sensacionalistas como “último pulso” y “presentará batalla”, creando suspense y exageración respecto al contenido jurídico.
2026-05-18T21:06:32	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\elconfidencial.json	añadida	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\titulos_sin_clickbait\elconfidencial.json	no aplica: la noticia no es clickbait	https://www.elconfidencial.com/espana/andalucia/2026-05-18/incendio-vivienda-ogijares-granada-muerte-1tna-1tps_4356698/	El Confidencial	2026-05-18	Muere una mujer de 79 años en el incendio de una vivienda en Ogíjares (Granada)	Muere una mujer de 79 años en el incendio de una vivienda en Ogíjares (Granada)	También resultaron heridos otra mujer de 36 años, que fue evacuada al hospital Clínico San Cecilio, y un hombre de 41 años que se negó a ser evacuado para recibir atención	Nacional	False	0.96	NO Clickbait		El titular informa de forma directa y concreta el hecho principal (fallecimiento de una mujer de 79 años en un incendio), sin exageración, suspenso ni promesas vagas, y coincide con el contenido de la noticia.	Veredicto: NO CLICKBAIT | Confianza: 0.96 | Título sin clickbait: (no procede) | Motivo: El titular informa de forma directa y concreta el hecho principal (fallecimiento de una mujer de 79 años en un incendio), sin exageración, suspenso ni promesas vagas, y coincide con el contenido de la noticia.
