idx,Periódico,Categoría,Título,Contenido,Clasificación,Score BERT,Tipo
0,20minutos,Internacional,el estrecho bab al mandeb todo sobre el otro punto clave del comercio que irán pretende estrangular a través de los rebeldes hutíes,la guerra en irán ni acaba ni continúa. el conflicto de estados unidos e israel contra irán vive un extraño impasse con unas negociaciones que no finalizan que se celebran a regañadientes y con el recelo de ambas partes y que lo más importante no terminan en un acuerdo final que sea algo más que un ...,No Clickbait,0.407,Ambos: No Clickbait
1,20minutos,Internacional,tiroteo en el centro de atenas un hombre de 89 años deja cinco heridos y es detenido tras darse a la fuga,un hombre hirió este martes a cinco personas en atenas tras irrumpir con una escopeta primero en una oficina pública y después en la sede del tribunal de primera instancia de la capital griega donde disparó de forma indiscriminada antes de huir según han informado varias emisoras locales. finalmente...,No Clickbait,0.223,Ambos: No Clickbait
3,20minutos,Internacional,carlos iii en la corte de trump,cuatro días estará el rey de inglaterra en los estados unidos como invitado de su presidente. la excusa es la celebración del 250 aniversario de la independencia norteamericana el de la victoria rebelde frente al ejército inglés aunque el objeto real de esta visita de estado no es otro que el intent...,No Clickbait,0.330,Ambos: No Clickbait
4,20minutos,Internacional,el senado de eeuu falla en su intento de limitar posibles acciones militares de trump en cuba,los demócratas del senado de estados unidos han fracasado este martes en un nuevo intento de limitar la autoridad del presidente donald trump para usar la fuerza militar sobre cuba.con una votación de 47 votos a favor y 51 en contra la iniciativa para controlar las posibles acciones de fuerza sobre ...,No Clickbait,0.227,Ambos: No Clickbait
5,20minutos,Internacional,una corte de apelaciones en nueva york falla en contra de la política de detención de migrantes de trump,un nuevo revés para el presidente donald trump en nueva york. un tribunal de apelaciones de este estado ha fallado este martes en contra de la política del republicano que instruye a las autoridades a detener sin posibilidad de fianza a los migrantes que captura en el país.de manera unánime los tres...,No Clickbait,0.223,Ambos: No Clickbait
6,20minutos,Internacional,el jefe de la junta militar en mali llama a la unidad y dice que la situación está bajo control,el presidente de transición en malí el general assimi goita ha llamado este martes a la unidad y ha afirmado que la situación está bajo control en el país tras los intensos ataques simultáneos perpetrados el sábado por yihadistas y los rebeldes independentistas del norte.el dispositivo de seguridad ...,No Clickbait,0.325,Ambos: No Clickbait
7,20minutos,Internacional,guerra en irán en directo | trump asegura que irán pide abrir el estrecho de ormuz lo antes posible ante su estado de colapso,en un post publicado en su red truth social el presidente de estados unidos donald trump ha asegurado este martes que irán acaba de informar a washington de que el país se encuentra en un estado de colapso y que teherán les ha pedido abrir el estrecho de ormuz lo antes posible. todo ello mientras el...,No Clickbait,0.361,Ambos: No Clickbait
8,20minutos,Internacional,musk sostiene que fue engañado por openai al adoptar un modelo con fines de lucro,el magnate tecnológico elon musk ha declarado este martes en el juicio contra openai que fue engañado al afirmar que no habría invertido en la fundación de la compañía de haber sabido que abandonaría su misión sin fines de lucro y en favor de la humanidad.podría haberla iniciado como una empresa con...,No Clickbait,0.463,Ambos: No Clickbait
9,20minutos,Internacional,el opositor venezolano guanipa cercano a machado visitará eeuu para trabajar con aliados,el dirigente opositor juan pablo guanipa cercano a la líder venezolana y premio nobel de la paz 2025 maría corina machado ha informado este martes que viajará a estados unidos para atender temas familiares y cumplir una agenda de trabajo con aliados.a través de x guanipa quien fue detenido en mayo d...,No Clickbait,0.264,Ambos: No Clickbait
10,20minutos,Internacional,desmantelan una red de explotación infantil en brasil con conexiones en 15 países entre ellos españa,la policía de brasil ha desmantelado este martes una red de explotación infantil que producía pornografía y tenía conexiones en 15 países. entre estas naciones relacionadas se encuentra españa según ha informado el cuerpo en un comunicado.en el ámbito internacional se han cumplido forma simultánea ó...,No Clickbait,0.248,Ambos: No Clickbait
11,20minutos,Internacional,el rey carlos iii trolea al presidente trump en un brindis en la casa blanca si no fuera por nosotros ustedes hablarían francés,el presidente de estados unidos donald trump ha celebrado este martes una cena de estado con el rey de reino unido carlos iii una reunión con el objetivo de intentar mejorar las relaciones entre ambos países deterioradas tras el comienzo de la guerra. el monarca se ha saltado el protocolo habitual d...,Clickbait,0.616,Ambos: Clickbait
12,20minutos,Internacional,albares llega a méxico para avanzar en la normalización de las relaciones,el ministro de asuntos exteriores de españa josé manuel albares ha llegado este martes a méxico donde acude apenas unos días después de que los dos países simbolizaran la normalización de sus relaciones en barcelona con la reunión entre el presidente el gobierno español pedro sánchez y la presidenta...,No Clickbait,0.441,Ambos: No Clickbait
13,20minutos,Internacional,un tribunal de la haya ordena el embargo de la sede del instituto cervantes en países bajos,el tribunal de distrito de la haya ha decretado el embargo de la sede del instituto cervantes en utrecht países bajos tras haber autorizado el pasado 19 de marzo la ejecución en ese país de los laudos arbitrales por el cambio en 2013 de la normativa de retribución de energías renovables.el inmueble ...,No Clickbait,0.234,Ambos: No Clickbait
