idx,Periódico,Categoría,Título,Contenido,TANIWA,BERT,Score BERT,Tipo
2,20minutos,Internacional,la brutal respuesta del narco a la detención del capo el jardinero en méxico incendios en edificios bloqueos de carreteras...,el gobierno del estado mexicano de nayarit oeste del país en el municipio de tecuala llamó este lunes a la ciudadanía a no salir de casa debido a una serie de violentos bloqueos que se han desatado tras la captura de audias flores silva alias el jardinero identificado por las autoridades como uno de...,No Clickbait,Clickbait,0.507,Solo BERT: CB
22,20minutos,Nacional,feijóo acusa a sánchez de legislar contra los médicos mientras presume de la sanidad y este carga contra las comunidades del pp,la presión política contra la ministra de sanidad mónica garcía por una huelga de médicos que tras meses de paros intermitentes ya se ha cronificado se ha trasladado este miércoles al hemiciclo de la cámara baja. en el cara a cara con el presidente del gobierno el líder del pp alberto núñez feijóo h...,Clickbait,No Clickbait,0.367,Solo TANIWA: CB
23,20minutos,Nacional,monumental enfado del pnv al publicar el pse una foto con ia de esteban tirándose a la piscina anula una reunión con moncloa,el presidente del ebb del pnv aitor esteban ha anulado una reunión que tenía prevista para este miércoles con moncloa tras la falta de respeto del pse ee por haber publicado una foto suya creada con ia tirándose a la piscina después de que el líder jeltzale haya asegurado que había base para trabaja...,Clickbait,No Clickbait,0.321,Solo TANIWA: CB
47,20minutos,Cultura,lérica hay un movimiento en el que muchos artistas están apostando por su cultura y se está valorando nuevamente el folclore,tony mateo y juan carlos arauzo dieron forma a lérica hace 10 años con un sonido propio que les define como dúo y les diferencia del resto de la escena musical española. con más de un millón de oyentes mensuales en plataformas como spotify cuentan con un notable hueco en la industria y son el puro e...,Clickbait,No Clickbait,0.291,Solo TANIWA: CB
50,20minutos,Cultura,el curioso origen etimológico del término deseo,es muy común encontrar diversas publicaciones sobre el término deseo que indican erróneamente que su origen proviene del lenguaje de los antiguos augures y marinos romanos quienes habrían acuñado la palabra para referirse al anhelo que sentían cuando no podían ver las estrellas del firmamento unos p...,Clickbait,No Clickbait,0.416,Solo TANIWA: CB
53,20minutos,Cultura,salomé y hamlet se encuentran en les arts tras un imponente exorcismo familiar,una ópera de richard strauss 1864 1949 siempre es un reto monumental para cualquier teatro del mundo pero si se trata de salomé 1905 la primera de las obras maestras del autor se convierte en perfecta piedra de toque para una orquesta. el amplio foso del palau les arts parecía estar más poblado que ...,Clickbait,No Clickbait,0.250,Solo TANIWA: CB
55,20minutos,Cultura,rosalía canta malamente y explica por qué ya no interpreta el mal querer tras leer la pancarta crítica de un fan,rosalía lleva ya semanas inmersa en su actual gira mundial lux tour donde canta las canciones de este disco lux además de otros como motomami. pero hay entre las canciones unas grandes ausentes los temas del disco el mal querer. durante uno de sus conciertos rosalía reparó en una pancarta que tenía ...,Clickbait,No Clickbait,0.456,Solo TANIWA: CB
56,20minutos,Cultura,despierto amándote de miranda! será la sintonía oficial de la vuelta 26,rtve y la vuelta han desvelado la canción que será la sintonía oficial de la próxima edición de la ronda española. despierto amándote de miranda! acompañará a deportistas y a la audiencia desde la salida en mónaco el 22 de agosto hasta la última etapa en granada el 13 de septiembre. la noticia se ha...,No Clickbait,Clickbait,0.500,Solo BERT: CB
58,20minutos,Cultura,de un siglo anterior de enrique bunbury warner 2026,guitarras ry cooder con el contrabajo de pulso arrabalero con la guitarra española como el canto del pasado que se afana en ser olvidado así se abre el lp con creer que se puede creer. las livianas percusiones de un brindis al sol vuelve en su temática a ser un conflicto entre el recuerdo y el futur...,Clickbait,No Clickbait,0.382,Solo TANIWA: CB
69,ABC,Internacional,amine kessaci la narcocracia crece en los lugares que el estado ha dejado abandonados,aunque solo tiene 22 años amine kessaci es uno de los activistas contra el narcotráfico más conocidos en marsella. en 2020 cuando apenas era un adolescente perdió a su hermano mayor brahim asesinado por un grupo de narcos y cuyo cadáver fue encontrado dentro de ... un coche calcinado. pero este polí...,No Clickbait,Clickbait,0.551,Solo BERT: CB
